categoryID,round,category,categoryComment,categoryAssigned,subcategoryAssigned
2,1,CITY WALK,,Geography,Cities
9,2,"FISH, BIRD, OR MAMMAL",,Nature,Birds
12,3,COMIC BOOKS,,Language,Literature
16,1,ISLANDS,,Geography,Islands
19,2,MONTY PYTHON,,Entertainment,Movies & Film
27,1,'90s MUSIC,,Music,Contemporary Music
30,1,TRUCKIN',,Business,Companies
31,1,EDIBLE RHYME TIME,,Culture,Food & Drink
40,1,SURVIVAL SKILLS,,Science,Anatomy
45,2,AMERICAN PLAYWRIGHTS,,Language,Literature
58,2,TITLES TAKEN FROM SHAKESPEARE,,Language,Shakespeare
68,1,FRANCIS FORD COPPOLA,,Entertainment,Movies & Film
72,2,ARCHITECTURAL STYLES,,History,Chronology
75,2,TV PAST & PRESENT,,Entertainment,Television
77,3,USA,,Geography,Islands
82,1,BEANS,,Culture,Food & Drink
90,3,MUSIC & THE MOVIES,(Alex: Been to the movies in the last decade?),Entertainment,Movies & Film
98,2,'60s POP QUIZ,,Music,Contemporary Music
106,1,ART ATTACK,,Culture,Art
107,1,ACTORS & THEIR FILMS,,Entertainment,Movies & Film
112,2,I'M IN CHARGE!,"(Alex: We'll name the leader, you name the country.)",Politics,World Leaders
116,3,MAJOR LEAGUE BASEBALL TEAM NAMES,,Sports,Teams
117,1,CITIES OF NEW YORK,,Geography,Cities
122,1,NOT A GREEK LETTER,,Language,Letters & Letter Play
129,3,WORLD CAPITALS,,Geography,Cities
135,1,VOCABULARY,,Language,Words & Word Play
137,2,PAINTING & SCULPTURE,,Culture,Art
143,1,U.S. CITIES,,Geography,Cities
155,3,BUSINESS & INDUSTRY,,Business,Companies
156,1,MOUNTAINS,,Geography,Mountains
158,1,THAT '70s SHOW,,Entertainment,Television
164,2,HISTORICAL NOVELS,,Language,Literature
166,2,BUSINESS & INDUSTRY,,Business,Companies
167,2,WHAT WORDS SHOULD REALLY MEAN,,Language,Words & Word Play
168,3,SPORTS ON TV,,Sports,Competition
172,1,BELOVED SINGERS,,Music,Contemporary Music
177,2,THE SUPREME COURT,,Politics,Law
178,2,BALLET,,Culture,Theatre
182,1,WOMEN: WRITE ON!,,Language,Literature
183,1,WHO'S WHO IN SPORTS,,Sports,Competition
191,2,4-LETTER FILMS,,Entertainment,Movies & Film
